"Series";"Time";"Value"
"web_server_01";"2019-12-05T18:57:00-05:00";29.25
"web_server_01";"2019-12-05T18:57:10-05:00";28.800000000000004
"web_server_01";"2019-12-05T18:57:20-05:00";26.650000000000002
"web_server_01";"2019-12-05T18:57:30-05:00";28.1
"web_server_01";"2019-12-05T18:57:40-05:00";29.1
"web_server_01";"2019-12-05T18:57:50-05:00";28.550000000000004
"web_server_01";"2019-12-05T18:58:00-05:00";27.75
"web_server_01";"2019-12-05T18:58:10-05:00";27.200000000000003
"web_server_01";"2019-12-05T18:58:20-05:00";26.700000000000003
"web_server_01";"2019-12-05T18:58:30-05:00";28.3
"web_server_01";"2019-12-05T18:58:40-05:00";28.700000000000003
"web_server_01";"2019-12-05T18:58:50-05:00";28.6
"web_server_01";"2019-12-05T18:59:00-05:00";29.200000000000003
"web_server_01";"2019-12-05T18:59:10-05:00";27.25
"web_server_01";"2019-12-05T18:59:20-05:00";29.85
"web_server_01";"2019-12-05T18:59:30-05:00";31.9
"web_server_01";"2019-12-05T18:59:40-05:00";30.200000000000003
"web_server_01";"2019-12-05T18:59:50-05:00";30.200000000000003
"web_server_01";"2019-12-05T19:00:00-05:00";28.85
"web_server_01";"2019-12-05T19:00:10-05:00";29.5
"web_server_01";"2019-12-05T19:00:20-05:00";29
"web_server_01";"2019-12-05T19:00:30-05:00";26.35
"web_server_01";"2019-12-05T19:00:40-05:00";26.55
"web_server_01";"2019-12-05T19:00:50-05:00";28.4
"web_server_01";"2019-12-05T19:01:00-05:00";29.35
"web_server_01";"2019-12-05T19:01:10-05:00";29.200000000000003
"web_server_01";"2019-12-05T19:01:20-05:00";28.550000000000004
"web_server_01";"2019-12-05T19:01:30-05:00";26.900000000000002
"web_server_01";"2019-12-05T19:01:40-05:00";27.35
"web_server_01";"2019-12-05T19:01:50-05:00";28.3
"web_server_01";"2019-12-05T19:02:00-05:00";28
"web_server_01";"2019-12-05T19:02:10-05:00";26.85
"web_server_01";"2019-12-05T19:02:20-05:00";26.200000000000003
"web_server_01";"2019-12-05T19:02:30-05:00";27.25
"web_server_01";"2019-12-05T19:02:40-05:00";28.35
"web_server_01";"2019-12-05T19:02:50-05:00";26.900000000000002
"web_server_01";"2019-12-05T19:03:00-05:00";26.75
"web_server_01";"2019-12-05T19:03:10-05:00";28.75
"web_server_01";"2019-12-05T19:03:20-05:00";29.25
"web_server_01";"2019-12-05T19:03:30-05:00";27.950000000000003
"web_server_01";"2019-12-05T19:03:40-05:00";25.950000000000003
"web_server_01";"2019-12-05T19:03:50-05:00";25.200000000000003
"web_server_01";"2019-12-05T19:04:00-05:00";25.950000000000003
"web_server_01";"2019-12-05T19:04:10-05:00";27.700000000000003
"web_server_01";"2019-12-05T19:04:20-05:00";28
"web_server_01";"2019-12-05T19:04:30-05:00";27.700000000000003
"web_server_01";"2019-12-05T19:04:40-05:00";27.05
"web_server_01";"2019-12-05T19:04:50-05:00";26.650000000000002
"web_server_01";"2019-12-05T19:05:00-05:00";27.300000000000004
"web_server_01";"2019-12-05T19:05:10-05:00";27.800000000000004
"web_server_01";"2019-12-05T19:05:20-05:00";28.700000000000003
"web_server_01";"2019-12-05T19:05:30-05:00";27.550000000000004
"web_server_01";"2019-12-05T19:05:40-05:00";25.950000000000003
"web_server_01";"2019-12-05T19:05:50-05:00";27.9
"web_server_01";"2019-12-05T19:06:00-05:00";28.6
"web_server_01";"2019-12-05T19:06:10-05:00";28.25
"web_server_01";"2019-12-05T19:06:20-05:00";28.25
"web_server_01";"2019-12-05T19:06:30-05:00";28.6
"web_server_01";"2019-12-05T19:06:40-05:00";28.3
"web_server_01";"2019-12-05T19:06:50-05:00";26.15
"web_server_01";"2019-12-05T19:07:00-05:00";25.950000000000003
"web_server_01";"2019-12-05T19:07:10-05:00";27.900000000000002
"web_server_01";"2019-12-05T19:07:20-05:00";27.900000000000002
"web_server_01";"2019-12-05T19:07:30-05:00";26.25
"web_server_01";"2019-12-05T19:07:40-05:00";26.6
"web_server_01";"2019-12-05T19:07:50-05:00";29.05
