"Series";"Time";"Value"
"cpu";"2019-12-05T19:19:40-05:00";12.899999999999999
"cpu";"2019-12-05T19:20:00-05:00";13
"cpu";"2019-12-05T19:20:20-05:00";13.425
"cpu";"2019-12-05T19:20:40-05:00";14.375
"cpu";"2019-12-05T19:21:00-05:00";14.6
"cpu";"2019-12-05T19:21:20-05:00";14.65
"cpu";"2019-12-05T19:21:40-05:00";14.475
"cpu";"2019-12-05T19:22:00-05:00";13.649999999999999
"cpu";"2019-12-05T19:22:20-05:00";13.350000000000001
"cpu";"2019-12-05T19:22:40-05:00";12.8
"cpu";"2019-12-05T19:23:00-05:00";12.675
"cpu";"2019-12-05T19:23:20-05:00";12.95
"cpu";"2019-12-05T19:23:40-05:00";12.649999999999999
"cpu";"2019-12-05T19:24:00-05:00";12.05
"cpu";"2019-12-05T19:24:20-05:00";11.475000000000001
"cpu";"2019-12-05T19:24:40-05:00";11.149999999999999
"cpu";"2019-12-05T19:25:00-05:00";10.975
"cpu";"2019-12-05T19:25:20-05:00";11.375
"cpu";"2019-12-05T19:25:40-05:00";11
"cpu";"2019-12-05T19:26:00-05:00";10.375
"cpu";"2019-12-05T19:26:20-05:00";10.15
"cpu";"2019-12-05T19:26:40-05:00";10.15
"cpu";"2019-12-05T19:27:00-05:00";10.274999999999999
"cpu";"2019-12-05T19:27:20-05:00";10.225
"cpu";"2019-12-05T19:27:40-05:00";10.675
"cpu";"2019-12-05T19:28:00-05:00";11.05
"cpu";"2019-12-05T19:28:20-05:00";11.075
"cpu";"2019-12-05T19:28:40-05:00";10.399999999999999
"cpu";"2019-12-05T19:29:00-05:00";10.625
"cpu";"2019-12-05T19:29:20-05:00";11.65
"cpu";"2019-12-05T19:29:40-05:00";11.975000000000001
"cpu";"2019-12-05T19:30:00-05:00";12.15
"cpu";"2019-12-05T19:30:20-05:00";12.275
"cpu";"2019-12-05T19:30:40-05:00";12.45
"cpu";"2019-12-05T19:31:00-05:00";12.425
"cpu";"2019-12-05T19:31:20-05:00";12.5
"cpu";"2019-12-05T19:31:40-05:00";12.475000000000001
"cpu";"2019-12-05T19:32:00-05:00";12.95
"cpu";"2019-12-05T19:32:20-05:00";13.05
"cpu";"2019-12-05T19:32:40-05:00";13.05
"cpu";"2019-12-05T19:33:00-05:00";12.8
"cpu";"2019-12-05T19:33:20-05:00";12.7
"cpu";"2019-12-05T19:33:40-05:00";12.9
"cpu";"2019-12-05T19:34:00-05:00";12.9
"cpu";"2019-12-05T19:34:20-05:00";13.100000000000001
"cpu";"2019-12-05T19:34:40-05:00";12.975000000000001
"cpu";"2019-12-05T19:35:00-05:00";12.925
"cpu";"2019-12-05T19:35:20-05:00";13.075
"cpu";"2019-12-05T19:35:40-05:00";12.725000000000001
"cpu";"2019-12-05T19:36:00-05:00";12.575
"cpu";"2019-12-05T19:36:20-05:00";12.875
"cpu";"2019-12-05T19:36:40-05:00";12.975
"cpu";"2019-12-05T19:37:00-05:00";13.05
"cpu";"2019-12-05T19:37:20-05:00";13.3
"cpu";"2019-12-05T19:37:40-05:00";13.100000000000001
"cpu";"2019-12-05T19:38:00-05:00";12.7
"cpu";"2019-12-05T19:38:20-05:00";12.625
"cpu";"2019-12-05T19:38:40-05:00";12.375
"cpu";"2019-12-05T19:39:00-05:00";12.899999999999999
"cpu";"2019-12-05T19:39:20-05:00";12.75
"cpu";"2019-12-05T19:39:40-05:00";12.725
"cpu";"2019-12-05T19:40:00-05:00";12.875
"cpu";"2019-12-05T19:40:20-05:00";12.75
"cpu";"2019-12-05T19:40:40-05:00";12.75
"cpu";"2019-12-05T19:41:00-05:00";13.025
"cpu";"2019-12-05T19:41:20-05:00";13.45
"cpu";"2019-12-05T19:41:40-05:00";13.375
"cpu";"2019-12-05T19:42:00-05:00";13.575
"cpu";"2019-12-05T19:42:20-05:00";13.4
"cpu";"2019-12-05T19:42:40-05:00";13.85
"cpu";"2019-12-05T19:43:00-05:00";13.95
"cpu";"2019-12-05T19:43:20-05:00";13.875
"cpu";"2019-12-05T19:43:40-05:00";14.125
"cpu";"2019-12-05T19:44:00-05:00";14.025
"cpu";"2019-12-05T19:44:20-05:00";13.3
"cpu";"2019-12-05T19:44:40-05:00";13.125
"cpu";"2019-12-05T19:45:00-05:00";13.5
"cpu";"2019-12-05T19:45:20-05:00";14
"cpu";"2019-12-05T19:45:40-05:00";14.675
"cpu";"2019-12-05T19:46:00-05:00";14.425
"cpu";"2019-12-05T19:46:20-05:00";14.7
"cpu";"2019-12-05T19:46:40-05:00";15.7
"cpu";"2019-12-05T19:47:00-05:00";15.75
