"Time";"crawler-pod-6785cb55f9-bmqzj";"crawler-pod-6785cb55f9-z9x6v";"domain-balancer-pod";"indexer-pod-7bdb4b5f86-bpr2x";"indexer-pod-7bdb4b5f86-f9k8d";"indexer-pod-7bdb4b5f86-h8rj4";"indexer-pod-7bdb4b5f86-nnpwg";"urlmap-pod"
"2019-12-08T21:07:30-05:00";null;null;null;null;null;null;null;null
"2019-12-08T21:08:15-05:00";null;null;null;null;null;null;null;null
"2019-12-08T21:09:00-05:00";null;null;null;null;null;null;null;null
"2019-12-08T21:09:45-05:00";null;null;null;null;null;null;null;null
"2019-12-08T21:10:30-05:00";3476.4688816148387;1840.683954848871;24.239697457533033;null;null;74206.01119559229;70029.91052047377;23.97347192146672
"2019-12-08T21:11:15-05:00";2814.535580674393;3465.2563630843956;63.96432330849895;null;null;106781.31862862007;104953.72574711933;76.65976200517538
"2019-12-08T21:12:00-05:00";2868.5209738625936;3468.8768450938974;50.54233658564915;null;null;104282.22629596412;111801.0408349973;76.06138888888889
"2019-12-08T21:12:45-05:00";3055.9424074074072;3170.684715157227;204.97166666666664;null;null;109163.97035990893;109925.0794249627;340.13497053088713
"2019-12-08T21:13:30-05:00";3101.0637447197973;3204.211035241214;194.7637117834681;null;null;102343.35749999998;103651.2677127879;341.9492293606035
"2019-12-08T21:14:15-05:00";3230.5077686104905;3390.3508123216034;200.40211427490956;null;null;99524.03317576807;109229.42519653669;330.1097191940032
"2019-12-08T21:15:00-05:00";3078.6008771381603;3390.230826794105;196.92779112011314;null;null;104509.11182074198;109597.84663112334;329.823125
"2019-12-08T21:15:45-05:00";443.7958330964698;406.93558278715136;155.3865259236262;null;null;10952.43145031584;13815.94183136846;259.86483162842893
"2019-12-08T21:16:30-05:00";652.1396749009655;198.40511308493637;158.68555349586052;null;null;6921.317801008693;19945.45754585664;262.3504067258395
"2019-12-08T21:17:15-05:00";576.8191604632509;184.3375936929723;0.8012334629189766;null;null;13139.356058616526;16879.156694862384;1.0132061426483967
"2019-12-08T21:18:00-05:00";465.32893654526447;100.68490642053986;1.279608043055047;null;null;13501.746237488298;13336.66637034403;1.1031187830697893
"2019-12-08T21:18:45-05:00";431.4245581010645;94.7749128446921;1.3374745508314634;null;null;13099.612656256;13260.25483698708;0.9917683229197659
"2019-12-08T21:19:30-05:00";487.96397852565957;29.038825422350712;1.0235631291383716;null;null;13045.660876203243;13093.45171411321;1.0012160306466449
"2019-12-08T21:20:15-05:00";733.9121285705825;27.92614561234674;1.0267038606596288;null;null;13122.663636647938;13423.93888188796;1.0234728197382026
"2019-12-08T21:21:00-05:00";415.7189879497648;26.63568169779403;1.0764542339914553;null;null;12913.841058922942;13327.084767168775;1.0546988652894966
"2019-12-08T21:21:45-05:00";430.9739700051715;26.803824916644363;0.7755299160665122;null;null;19169.9884589602;12931.644211525369;0.7995675420594142
"2019-12-08T21:22:30-05:00";530.1215144492571;76.83083243829445;0.24812610056484777;null;null;12802.748015737956;13077.310551183617;0.7718539932918871
"2019-12-08T21:23:15-05:00";560.0681335982099;104.00133112443841;0.541492787316073;null;null;19441.63810528166;13106.845513413507;0.7805625727342397
"2019-12-08T21:24:00-05:00";669.8329846509303;123.25837689190448;0.5457363438575555;null;null;20062.483144675178;12025.362574336554;0.7804040777879298
"2019-12-08T21:24:45-05:00";467.02758249909823;149.43185673110193;0.5287294712891475;null;null;12811.098958386572;18292.781045673448;0.5520754355875187
"2019-12-08T21:25:30-05:00";464.6423572001771;235.9795633999071;0.5400269120734349;null;null;13391.319232703192;12327.794030386243;0.5219878690019244
"2019-12-08T21:26:15-05:00";494.6073820519531;282.1561054099214;0.7411699704879592;null;null;12822.973360068749;18768.152333858954;0.769462145959974
"2019-12-08T21:27:00-05:00";547.1368947954073;242.62948054098965;0.24702508206115997;null;null;7197.82709082513;18926.499759131737;0.7651697657721402
"2019-12-08T21:27:45-05:00";645.5729980443035;405.2596431876503;1.041124414367517;null;null;2961.424796606633;22935.91579720844;0.814377463954543
"2019-12-08T21:28:30-05:00";485.7484251045519;529.7047708449519;1.0538211919807843;null;null;743.4549207556017;18961.04238950068;0.7646694889922353
"2019-12-08T21:29:15-05:00";371.0425070775995;561.1349938432958;1.0413188123220332;null;null;716.5585251208973;19570.685150702004;1.0084851857003754
"2019-12-08T21:30:00-05:00";617.3142100746214;592.297830479823;0.8037072291437151;null;null;730.7788199187434;18948.93001774738;1.017915309446254
"2019-12-08T21:30:45-05:00";913.2231121830227;607.4968808202086;0.7731994995290513;null;null;982.7363450859584;18267.489856374686;0.7781440556868181
"2019-12-08T21:31:30-05:00";925.1297973008103;659.4063945216843;0.7846466058684433;null;null;937.0437866536632;19455.99683801162;0.7945135229813037
"2019-12-08T21:32:15-05:00";848.5193499916126;554.6963239884382;0.5302519040863828;null;null;944.3792601564193;24209.839899571805;0.2588010854856957
"2019-12-08T21:33:00-05:00";913.7276968035868;462.11785393731793;0.5669255626736209;null;null;7276.711121534848;19279.352707827267;0.7922446451464211
"2019-12-08T21:33:45-05:00";1038.0235706322665;375.45575811471764;0.5479855189190072;null;null;7232.028429918571;16992.120533585738;0.5213438158196567
"2019-12-08T21:34:30-05:00";939.4888780258383;272.1685259228942;0.531701835789205;null;null;7129.293852320501;16146.572609662926;0.5445456492617776
"2019-12-08T21:35:15-05:00";1070.7967430018218;166.52549368669648;0.5298406239403188;null;null;7054.351790309662;19159.639106907307;0.5572313773273697
